name	superpathway	subpathway	compid	chemid	platform	mass	ri	hmdb_ef	cas	pubchem	chemspider	hmdb	key	kegg	source	T2DM_SNPs	FG_SNPs	HBA1C_SNPs
1-eicosapentaenoyl-GPC (20_5)*	Lipid	Lysolipid	M44563	100005351	LC/MS Pos Late	542.3241	1395	HMDB0010397	NA	NA	NA	NA	396	NA	responses	rs67580629, rs174545	rs67580629, rs174545	rs67580629, rs174545
1,3,7-trimethylurate	Xenobiotics	Xanthine Metabolism	M34404	100001397	LC/MS Neg	209.068	1985	HMDB0002123	5415-44-1	79437	71754	HMDB02123	424	C16361	responses	rs4144185	rs4144185	rs4144185
5-acetylamino-6-amino-3-methyluracil	Xenobiotics	Xanthine Metabolism	M34424	100001403	LC/MS Polar	197.068	1710	HMDB0004400	19893-78-8	88299	79659	HMDB04400	436	C16366	responses	rs6968554, rs35246381	rs6968554, rs35246381	rs6968554, rs35246381
X - 24020	Unknown	Unknown	M52049	NA	LC/MS Pos Early	188.1754	3064	NA	NA	NA	NA	NA	445	NA	responses	rs62492368, rs111485569	rs62492368, rs111485569	rs62492368, rs111485569
5-acetylamino-6-formylamino-3-methyluracil	Xenobiotics	Xanthine Metabolism	M34401	100001402	LC/MS Polar	225.0629	1424	HMDB0011105	85438-96-6	108214	97287	HMDB11105	448	C16365	responses	rs1868361, rs4921913	rs1868361, rs4921913	rs1868361, rs4921913
sphinganine	Lipid	Sphingolipid Metabolism	M17769	313	LC/MS Pos Late	302.3054	1413	HMDB0000269	3102-56-5	3126	3014	HMDB00269	471	C00836	responses	rs676457	rs676457	rs676457
2-arachidonoyl-GPC (20_4)*	Lipid	Lysolipid	M33387	100001554	LC/MS Neg	618.3413	5965	HMDB0061699	NA	NA	21403158	HMDB61699	504	NA	responses	rs673335	rs673335	rs673335
arachidonate (20_4n6)	Lipid	Polyunsaturated Fatty Acid (n3 and n6)	M01110	229	LC/MS Neg	303.233	5535	HMDB0001043	506-32-1	444899	392692	HMDB01043	506	C00219	responses	rs673335	rs673335	rs673335
1-arachidonoyl-GPA (20_4)	Lipid	Lysolipid	M46325	100004442	LC/MS Neg	457.2361	5499	HMDB0062312;HMDB0114742	799268-65-8	NA	NA	NA	509	NA	responses	rs174574	rs174574	rs174574
2-arachidonoyl-GPE (20_4)*	Lipid	Lysolipid	M32815	100001674	LC/MS Neg	500.2783	5793	HMDB0011487;HMDB0011517;HMDB0011518	NA	NA	NA	NA	511	NA	responses	rs35853021	rs35853021	rs35853021
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18_0_20_4)*	Lipid	Plasmalogen	M52475	100008999	LC/MS Pos Late	752.5589	2511	HMDB0005779	NA	9547058	7826008	HMDB05779	512	NA	responses	rs102275, rs4374298	rs102275, rs4374298	rs102275, rs4374298
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16_0_20_4)*	Lipid	Plasmalogen	M52673	100009002	LC/MS Pos Late	724.5276	2270	HMDB0011352	NA	NA	24769238	NA	518	NA	responses	rs3115669, rs174577, rs4606850	rs3115669, rs174577, rs4606850	rs3115669, rs174577, rs4606850
1-linoleoyl-GPI (18_2)*	Lipid	Lysolipid	M36594	100001778	LC/MS Neg	595.2889	5494	~HMDB0240261	NA	NA	NA	NA	529	NA	responses	rs174547, rs449370	rs174547, rs449370	rs174547, rs449370
1-palmitoyl-2-linoleoyl-GPI (16_0_18_2)	Lipid	Phospholipid Metabolism	M52450	1528	LC/MS Polar	833.5185	910	HMDB0009784	NA	NA	21403024	NA	531	NA	responses	rs174545	rs174545	rs174545
sphingomyelin (d18_2_14_0, d18_1_14_1)*	Lipid	Sphingolipid Metabolism	M47154	100005985	LC/MS Pos Late	673.5279	1860	HMDB0013462	NA	NA	NA	NA	565	NA	responses	rs174544	rs174544	rs174544
X - 11849	Unknown	Unknown	M46607	NA	LC/MS Neg	266.0179	3215	unknown2	NA	NA	NA	NA	635	NA	responses	rs4633	rs4633	rs4633
cysteine sulfinic acid	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	37443	100002113	LC/MS Pos Early	154.0169	597	HMDB0000996	207121-48-0	109	107	HMDB00996	NA	C00606	responsesns	rs2727271	rs2727271	rs2727271
1-margaroyl-GPC (17_0)	Lipid	Lysolipid	44682	100001264	LC/MS Pos Late	510.3554	1566	HMDB0012108	50930-23-9	24779463	NA	HMDB12108	NA	C04230	responsesns	rs6857	rs6857	rs6857
